Transaction ID,Segment,Revenue
367524133,granify,49.5
367524137,granify,72.24
367524139,granify,154.98
367524143,granify,49.99
367524145,granify,56.75
367524147,granify,175.77
367524149,granify,435.04
367524151,granify,39.99
367524153,granify,69.9
367524155,granify,144.75
367524157,granify,150.08
367524159,granify,15.54
367524161,granify,218.48
367524163,granify,94.98
367524165,granify,69.98
367524167,granify,169.98
367524169,granify,46
367524171,baseline,31.13
367524173,baseline,38.6
367524175,granify,84.98
367524179,granify,76.95
367524181,granify,225.06
367524183,granify,296.95
367524185,baseline,470.02
367524187,granify,144.75
367524189,granify,109.98
367524191,granify,36.33
367524193,granify,155.08
367524195,granify,155.08
367524197,granify,29.08
367524199,granify,20.3
367524201,granify,51.92
367524203,granify,59.99
367524205,granify,44.98
367524207,baseline,765.77
367524209,granify,55.45
367524213,granify,23.04
367524215,granify,274
367524217,granify,98.13
367524219,granify,19.95
367524221,baseline,155.08
367524223,granify,429.9
367524225,baseline,52.95
367524227,granify,132.25
367524229,granify,399.99
367524233,granify,39.99
367524235,granify,54.03
367524237,granify,84.98
367524241,granify,20
367524243,granify,104.98
367524245,granify,109.98
367524247,granify,145.68
367524249,granify,49.95
367524253,baseline,64.98
367524255,granify,49.98
367524257,baseline,315.04
367524259,granify,84.8
367524261,granify,57.31
367524263,granify,56.75
367524269,granify,94.98
367524271,granify,310.16
367524273,granify,189.95
367524275,granify,104.98
367524277,baseline,48.87
367524279,granify,52.97
367524281,granify,24.99
367524283,baseline,144.75
367524285,baseline,120.94
367524287,granify,75.99
367524289,granify,254.96
367524291,granify,74.74
367524293,granify,144.75
367524297,granify,58.5
367524299,granify,187.49
367524301,granify,149.9
367524303,granify,99.98
367524305,granify,119.75
367524307,baseline,150.08
367524311,granify,245.06
367524313,granify,99.98
367524315,granify,308.02
367524317,baseline,107
367524319,granify,155.08
367524321,granify,79.98
367524323,granify,89.98
367524325,granify,139.96
367524327,granify,155.08
367524329,granify,155.08
367524331,granify,24.08
367524333,granify,429.9
367524335,granify,44.52
367524337,granify,58.25
367524341,granify,364.15
367524343,baseline,409.71
367524347,granify,244.96
367524349,baseline,62
367524351,granify,62.65
367524353,granify,27.36
367524355,granify,349.99
367524357,granify,69.98
367524359,granify,84.98
367524361,granify,869.94
